M,N,K,cuBLAS,Triton
256.000000,256.000000,256.000000,4.681143,4.681143
384.000000,384.000000,384.000000,11.059200,12.288000
512.000000,512.000000,512.000000,17.476267,21.845333
640.000000,640.000000,640.000000,23.272727,30.117647
768.000000,768.000000,768.000000,27.648000,32.768000
896.000000,896.000000,896.000000,37.971025,43.904000
1024.000000,1024.000000,1024.000000,42.799022,53.730077
1152.000000,1152.000000,1152.000000,43.911529,48.161033
1280.000000,1280.000000,1280.000000,39.766991,59.362318
1408.000000,1408.000000,1408.000000,48.245805,56.203878
1536.000000,1536.000000,1536.000000,44.796761,54.445292
1664.000000,1664.000000,1664.000000,52.934777,63.822072
1792.000000,1792.000000,1792.000000,62.096267,62.441243
1920.000000,1920.000000,1920.000000,53.581398,62.261507
2048.000000,2048.000000,2048.000000,61.008059,62.368830
2176.000000,2176.000000,2176.000000,46.474937,62.690492
2304.000000,2304.000000,2304.000000,63.531573,63.195429
2432.000000,2432.000000,2432.000000,59.271021,64.289390
2560.000000,2560.000000,2560.000000,65.667333,65.015874
2688.000000,2688.000000,2688.000000,61.881004,65.628127
2816.000000,2816.000000,2816.000000,58.858581,63.026315
2944.000000,2944.000000,2944.000000,64.638174,64.890664
3072.000000,3072.000000,3072.000000,63.195428,65.233993
3200.000000,3200.000000,3200.000000,61.302680,63.999997
3328.000000,3328.000000,3328.000000,66.351425,66.596946
3456.000000,3456.000000,3456.000000,65.122430,64.886572
3584.000000,3584.000000,3584.000000,63.769780,64.133662
3712.000000,3712.000000,3712.000000,58.832358,64.574882
3840.000000,3840.000000,3840.000000,63.303948,62.729437
3968.000000,3968.000000,3968.000000,62.225362,62.801820
4096.000000,4096.000000,4096.000000,62.339862,62.660003
